TransactionID,Transaction,CustomerID,Mobile_number,Customer Name,Age,Billing Without GST,Billing With GST,Date
TI0001,"['Camera', 'SD-card', 'Camera-holder']",CUST023,7023711077,Safyr,28,53750,60200,1/1/2017
TI0002,"['Camera', 'Focus-lens', 'SD-card', 'Camera-holder']",CUST012,7023711088,Ballinamore,24,68750,77000,1/1/2017
TI0003,"['Camera', 'Auto-focus-mount-adapter', 'Tripod-stand', 'Photographic-lighting']",CUST034,7023711066,Sahib,59,70050,78456,1/1/2017
TI0004,"['Camera', 'Focus-lens', 'SD-card', 'Camera-holder']",CUST008,7023711092,Ballad,12,68750,77000,1/1/2017
TI0005,"['Camera', 'Camera-holder', 'Photographic-lighting']",CUST029,7023711071,Sagiv,30,56100,62832,1/1/2017
TI0006,"['Camera', 'SD-card', 'Photographic-lighting']",CUST030,7023711070,Sago,31,54850,61432,1/1/2017
TI0007,"['Tripod-stand', 'Focus-lens', 'Camera', 'Auto-focus-mount-adapter']",CUST039,7023711061,Sal,56,81450,91224,1/1/2017
TI0008,"['Camera', 'SD-card', 'Camera-holder']",CUST032,7023711068,Sahale,56,53750,60200,1/1/2017
TI0009,"['Camera', 'Focus-lens', 'SD-card']",CUST021,7023711079,Safak,27,66250,74200,1/2/2017
TI0010,"['Camera', 'SD-card', 'Camera-holder']",CUST009,7023711091,Ballard,12,53750,60200,1/3/2017
TI0011,"['Camera', 'Focus-lens', 'SD-card', 'Camera-holder']",CUST002,7023711098,Aakash,10,68750,77000,1/3/2017
TI0012,"['Camera', 'SD-card', 'Tripod-stand', 'Camera-holder']",CUST023,7023711077,Safyr,28,55500,62160,1/3/2017
TI0013,"['Camera', 'Focus-lens', 'SD-card']",CUST034,7023711066,Sahib,59,66250,74200,1/3/2017
TI0014,"['Camera', 'SD-card', 'Camera-holder']",CUST026,7023711074,Sagaz,29,53750,60200,1/3/2017
TI0015,"['Camera', 'Focus-lens', 'SD-card', 'Camera-holder']",CUST024,7023711076,Saga,28,68750,77000,1/4/2017
TI0016,"['Camera', 'Focus-lens', 'SD-card', 'Camera-holder']",CUST037,7023711063,Saje,53,68750,77000,1/5/2017
TI0017,"['Camera', 'SD-card', 'Camera-holder', 'Auto-focus-mount-adapter', 'Focus-lens']",CUST029,7023711071,Sagiv,30,83450,93464,1/5/2017
TI0018,"['Tripod-stand', 'SD-card', 'Camera']",CUST027,7023711073,Sage,29,53000,59360,1/6/2017
TI0019,"['Focus-lens', 'SD-card']",CUST036,7023711064,Saiyid,52,16250,18200,1/7/2017
TI0020,"['Camera', 'SD-card', 'Photographic-lighting']",CUST025,7023711075,Sagar,29,54850,61432,1/7/2017
TI0021,"['Camera', 'Focus-lens', 'SD-card']",CUST038,7023711062,Sakima,55,66250,74200,1/7/2017
TI0022,"['Camera', 'SD-card', 'Photographic-lighting']",CUST001,7023711099,Aahron,10,54850,61432,1/7/2017
TI0023,"['SD-card', 'Camera-holder']",CUST031,7023711069,Sahadev,54,3750,4200,1/7/2017
TI0024,"['Tripod-stand', 'Focus-lens', 'Camera-holder', 'Auto-focus-mount-adapter']",CUST011,7023711089,Ballerd,24,33950,38024,1/8/2017
TI0025,"['Camera', 'SD-card', 'Camera-holder']",CUST040,7023711060,Salamon,58,53750,60200,1/9/2017
TI0026,"['Tripod-stand', 'SD-card', 'Camera-holder']",CUST036,7023711064,Saiyid,52,5500,6160,1/9/2017
TI0027,"['Camera', 'SD-card', 'Camera-holder', 'Auto-focus-mount-adapter']",CUST033,7023711067,Sahen,57,68450,76664,1/9/2017
TI0028,"['Tripod-stand', 'Camera-holder', 'Camera', 'Photographic-lighting']",CUST034,7023711066,Sahib,59,57850,64792,1/10/2017
TI0029,"['Camera', 'SD-card', 'Camera-holder', 'Tripod-stand']",CUST004,7023711096,Aamer,11,55500,62160,1/11/2017
TI0030,"['Camera', 'Focus-lens']",CUST001,7023711099,Aahron,10,65000,72800,1/11/2017
TI0031,"['SD-card', 'Camera-holder', 'Photographic-lighting', 'Auto-focus-mount-adapter']",CUST016,7023711084,Balthazar,25,22050,24696,1/11/2017
TI0032,"['Camera', 'Focus-lens', 'SD-card', 'Camera-holder']",CUST001,7023711099,Aahron,10,68750,77000,1/12/2017
